Name,Position1,Position2,Position3,Rotation1,Rotation2,Rotation3,Depthmap,Background,Resolution1,Resolution2,Projection,Focal1,Focal2,Principle_point1,Principle_point2,Depth_range1,Depth_range2,BitDepthColor,BitDepthDepth,HasInvalidDepth,ColorSpace,DepthColorSpace,Hor_range1,Hor_range2,Ver_range1,Ver_range2
viewport,0,0,1.65,0,0,0,1,1,2048,2048,Perspective,1024,1024,1024,1024,0.5,25,10,10,TRUE,YUV420,YUV420,NA,NA,NA,NA
center,0,0,1.65,0,0,0,1,1,4096,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-180,180,-90,90
v0,0.0777,-0.1429,1.3872,-61.4676,40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v1,0.1429,0.2628,1.7277,61.4676,-14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v2,0.2628,0.0777,1.7929,16.4676,-24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v3,0.1429,-0.2628,1.5723,-61.4676,14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v4,0.0777,0.1429,1.9128,61.4676,-40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v5,0.2628,-0.0777,1.5071,-16.4676,24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v6,0.1429,0.0777,1.3872,28.5324,40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v7,0.0777,0.2628,1.5071,73.5324,24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v8,0.2628,0.1429,1.5723,28.5324,14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v9,0.1429,-0.0777,1.9128,-28.5324,-40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v10,0.0777,-0.2628,1.7929,-73.5324,-24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v11,0.2628,-0.1429,1.7277,-28.5324,-14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v12,-0.2628,-0.0777,1.7929,-163.5324,-24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v13,-0.0777,-0.1429,1.9128,-118.5324,-40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v14,-0.1429,-0.2628,1.7277,-118.5324,-14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v15,-0.0777,0.1429,1.3872,118.5324,40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v16,-0.2628,0.0777,1.5071,163.5324,24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v17,-0.1429,0.2628,1.5723,118.5324,14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v18,-0.0777,0.2628,1.7929,106.4676,-24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v19,-0.2628,-0.1429,1.5723,-151.4676,14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v20,-0.1429,-0.0777,1.3872,-151.4676,40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v21,-0.2628,0.1429,1.7277,151.4676,-14.1095,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v22,-0.1429,0.0777,1.9128,151.4676,-40.3759,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v23,-0.0777,-0.2628,1.5071,-106.4676,24.8121,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v24,0,-0.25742,0,15,10,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v25,0,-0.2,0.02662,-0.3,0,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v26,0,0,0.0284013,-30,0,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v27,-0.072396,-0.0046211,-0.0035961,-35,15,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
v28,0.15,0.0017546,0,-15.1,-0.033445,0,1,1,2048,2048,Equirectangular,NA,NA,NA,NA,0.5,25,10,16,FALSE,YUV420,YUV420,-90,90,-90,90
